,Rango,ciudad,areas,cuartos,baño,area de parqueo,monto de renta,seguro,Total
1615,1615,1,37,1,1,0,1519,20,1884
1616,1616,1,30,1,1,1,3237,42,4169
1617,1617,1,246,3,4,4,10000,127,14960
1618,1618,1,234,3,5,3,14000,178,18260
1619,1619,1,73,2,2,1,5000,64,6332
1620,1620,1,113,3,2,2,2975,38,5122
1621,1621,0,110,3,3,2,3200,49,4865
1622,1622,1,400,3,2,8,15000,226,16560
1623,1623,1,29,1,1,0,1430,19,1449
1624,1624,1,140,2,2,2,2700,41,2797
1625,1625,1,28,1,1,1,2800,36,3493
1626,1626,1,200,3,3,3,7000,106,7843
1627,1627,1,20,1,1,0,1850,24,2233
1628,1628,1,88,3,2,2,5870,75,7403
1629,1629,1,40,1,1,1,1500,20,1979
1630,1630,1,150,3,2,2,5000,64,7248
1631,1631,1,187,3,2,3,3500,53,4246
1632,1632,1,51,1,1,1,2700,35,3332
1633,1633,1,62,2,2,1,5050,64,6025
1634,1634,1,150,3,2,4,9670,146,9871
1635,1635,1,48,1,1,1,6698,85,8086
1636,1636,0,60,2,1,1,830,13,843
1637,1637,1,53,1,1,1,2600,33,3765
1638,1638,1,74,2,1,2,6600,84,8208
1639,1639,1,53,1,1,0,1680,22,1940
1640,1640,0,300,4,5,4,4000,61,4423
1641,1641,1,180,2,3,2,12500,159,12660
1642,1642,1,53,2,2,1,1650,13,2113
1643,1643,0,296,6,4,8,5200,79,5654
1644,1644,1,145,4,3,2,4800,61,7005
1645,1645,1,230,3,3,3,4080,52,6449
1646,1646,1,420,4,4,4,11050,141,19790
1647,1647,1,34,1,1,0,1610,21,1856
1648,1648,1,27,1,1,1,3700,47,3747
1649,1649,1,17,1,1,0,2200,28,2578
1650,1650,1,64,2,1,2,4000,51,6923
1651,1651,1,645,5,8,8,15000,226,17560
1652,1652,1,68,2,2,1,1339,16,1955
1653,1653,1,68,1,1,1,6000,77,10900
1654,1654,1,134,3,3,3,2125,27,4207
1655,1655,1,43,1,1,0,1700,22,1972
1656,1656,1,48,1,1,2,7000,89,9634
1657,1657,1,220,5,4,3,8000,121,8546
1658,1658,1,600,5,5,6,15000,191,17290
1659,1659,1,260,3,4,3,1040,14,5704
1660,1660,1,250,3,4,0,5000,64,9898
1661,1661,1,126,3,2,2,1680,22,2692
1662,1662,1,62,2,2,0,1400,18,2155
1663,1663,1,68,2,1,0,1300,17,1617
1664,1664,1,195,4,3,4,2700,35,5610
1665,1665,1,57,2,2,1,4500,58,5178
1666,1666,1,556,4,5,7,7000,106,9165
1667,1667,1,70,2,1,1,2400,31,3169
1668,1668,1,105,3,2,3,1900,25,3727
1669,1669,0,200,4,3,2,3400,44,4803
1670,1670,1,290,3,5,4,7000,89,10670
1671,1671,1,90,2,2,1,3910,15,4792
1672,1672,1,94,1,2,2,13000,165,14910
1673,1673,1,130,3,4,2,2318,30,4309
1674,1674,1,40,1,1,0,1100,17,1312
1675,1675,1,110,4,5,3,3900,59,4584
1676,1676,1,28,1,1,0,1764,23,2042
1677,1677,1,240,3,3,3,10000,127,14330
1678,1678,1,100,3,3,3,3300,42,4759
1679,1679,1,20,1,1,0,2060,27,2087
1680,1680,1,300,4,4,4,9000,115,13580
1681,1681,1,16,1,1,0,850,11,891
1682,1682,1,90,2,1,0,1720,26,1746
1683,1683,1,90,3,3,2,1997,26,3474
1684,1684,1,39,2,1,0,1450,19,1632
1685,1685,0,578,4,5,8,9500,143,10430
1686,1686,1,180,3,2,1,3000,46,3209
1687,1687,1,209,3,3,0,4000,51,7054
1688,1688,1,170,3,3,2,9500,121,12830
1689,1689,1,250,4,5,4,9800,125,12970
1690,1690,1,262,4,5,4,2250,29,6129
1691,1691,1,100,3,3,0,1955,30,2015
1692,1692,1,200,3,2,2,2900,44,3735
1693,1693,1,70,2,1,1,3000,39,3589
1694,1694,1,244,3,3,3,8900,113,15690
1695,1695,1,270,5,4,4,7000,89,12270
1696,1696,1,45,1,1,0,1030,16,1106
1697,1697,1,20,1,1,0,2400,31,2830
1698,1698,1,70,2,2,0,3750,48,4543
1699,1699,0,130,2,2,5,1800,28,2149
1700,1700,0,104,2,2,1,1700,22,2424
1701,1701,1,65,1,1,1,2500,32,3532
1702,1702,1,235,3,3,3,6500,83,8529
1703,1703,1,200,3,4,2,9180,117,12000
1704,1704,1,150,2,2,1,2175,12,2187
1705,1705,0,60,2,1,1,1000,13,1327
1706,1706,1,82,1,1,2,8000,102,10020
1707,1707,1,380,3,2,3,15000,191,19310
1708,1708,1,380,4,4,3,8000,102,12580
1709,1709,1,54,2,2,1,2200,28,3010
1710,1710,1,67,2,2,1,3500,45,4185
1711,1711,1,330,2,4,3,6000,91,8091
1712,1712,1,117,4,5,4,3175,41,5450
1713,1713,0,200,3,3,5,2650,40,2910
1714,1714,1,305,2,3,0,5000,64,9231
1715,1715,1,53,2,2,2,2495,11,3429
1716,1716,0,170,4,3,2,1750,27,1886
1717,1717,1,50,1,1,1,1800,23,2323
1718,1718,1,250,4,2,3,15000,191,18290
1719,1719,1,164,3,2,1,3700,47,5174
1720,1720,1,90,2,1,1,2500,38,2757
1721,1721,0,115,3,3,1,1900,25,2990
1722,1722,1,206,3,3,1,7400,94,10990
1723,1723,1,50,2,2,1,1900,25,2305
1724,1724,0,49,2,1,1,1000,13,1314
1725,1725,1,30,1,1,0,1210,16,1577
1726,1726,1,130,3,1,1,5600,85,5685
1727,1727,1,360,4,9,8,8540,129,9998
1728,1728,1,54,2,1,1,1932,8,2683
1729,1729,0,252,3,3,4,3300,50,3609
1730,1730,0,130,3,2,0,1400,22,1432
1731,1731,0,400,4,4,3,8700,131,10490
1732,1732,1,27,1,1,0,895,12,998
1733,1733,1,45,1,1,1,2349,8,2946
1734,1734,1,260,4,4,2,4400,56,7610
1735,1735,1,74,2,3,2,3200,41,3731
1736,1736,1,59,2,2,0,2040,26,2845
1737,1737,1,51,2,1,1,2500,32,3010
1738,1738,1,346,4,4,4,4080,52,9036
1739,1739,1,30,1,1,0,1200,19,1219
1740,1740,1,58,2,1,1,1397,18,2128
1741,1741,0,65,2,1,1,1850,24,2382
1742,1742,1,110,2,3,2,6500,83,8376
1743,1743,1,600,5,7,8,9000,136,11010
1744,1744,1,35,1,1,0,1950,25,1976
1745,1745,1,65,3,1,0,1880,24,2444
1746,1746,1,83,2,1,1,1600,21,2296
1747,1747,1,100,3,2,0,2000,26,3076
1748,1748,1,90,2,2,1,3000,39,4089
1749,1749,1,65,1,1,1,3500,45,5946
1750,1750,1,135,3,2,2,2300,30,4755
1751,1751,1,90,2,2,2,1800,28,1828
1752,1752,1,58,2,1,1,1500,20,2175
1753,1753,1,34,2,1,0,2200,28,2543
1754,1754,1,350,3,5,3,12000,181,13430
1755,1755,1,45,1,1,1,4500,58,7092
1756,1756,1,120,3,2,1,2500,32,3562
1757,1757,0,45,1,1,1,850,11,1418
1758,1758,1,26,1,1,0,900,12,922
1759,1759,1,137,4,1,1,3000,22,3462
1760,1760,1,200,2,2,1,2000,31,2032
1761,1761,1,20,1,1,0,1800,23,2555
1762,1762,1,163,3,3,3,2550,33,4532
1763,1763,1,32,1,1,1,2088,7,2692
1764,1764,1,45,1,1,1,1700,22,2587
1765,1765,1,147,3,2,0,4250,54,5804
1766,1766,1,260,3,2,1,3000,46,3380
1767,1767,1,36,1,1,1,3400,44,4124
1768,1768,1,20,1,1,0,1800,23,2555
1769,1769,1,112,1,2,2,8389,107,8496
1770,1770,1,35,1,1,0,1300,17,1807
1771,1771,1,280,3,4,2,2590,39,2939
1772,1772,1,137,2,2,1,4600,70,5080
1773,1773,1,120,3,3,1,3070,39,4124
1774,1774,1,62,3,1,1,1600,21,2046
1775,1775,1,70,2,2,0,1980,30,2010
1776,1776,1,78,3,2,2,2400,31,3198
1777,1777,1,39,1,1,1,4200,54,4979
1778,1778,0,90,3,3,2,1350,18,2186
1779,1779,1,121,2,3,1,2560,33,3588
1780,1780,1,97,3,3,2,2500,32,3865
1781,1781,1,130,2,2,2,3500,53,4001
1782,1782,0,46,2,1,1,1250,16,1516
1783,1783,1,93,2,2,2,5500,70,7061
1784,1784,1,70,2,2,0,1000,13,1431
1785,1785,1,100,2,1,1,1900,29,2013
1786,1786,1,64,1,2,1,2603,16,3483
1787,1787,1,84,2,2,0,1500,20,2267
1788,1788,1,146,3,5,3,9000,115,10520
1789,1789,1,110,3,2,1,5500,70,6595
1790,1790,1,80,1,2,1,4000,51,5160
1791,1791,1,280,3,4,4,15000,191,21690
1792,1792,1,180,4,3,2,5500,70,8887
1793,1793,1,20,1,1,0,3142,40,3399
1794,1794,1,70,3,1,1,2500,32,3532
1795,1795,1,54,1,1,1,4130,53,5917
1796,1796,1,469,4,5,4,15000,191,23160
1797,1797,0,240,3,4,4,7000,89,9889
1798,1798,1,141,3,2,2,6900,88,9638
1799,1799,1,70,2,1,0,1600,21,1621
1800,1800,1,58,1,2,1,5800,74,6994
1801,1801,1,160,3,2,2,3599,46,5835
1802,1802,0,348,3,3,3,6000,91,6441
1803,1803,1,68,2,1,1,1200,16,2280
1804,1804,0,58,2,2,2,3500,45,3892
1805,1805,1,138,2,3,2,2180,28,4896
1806,1806,1,55,1,1,1,2200,28,3072
1807,1807,0,170,3,2,2,2300,35,2433
1808,1808,1,400,3,7,4,20000,254,23340
1809,1809,0,188,5,4,0,4000,61,4239
1810,1810,1,240,3,4,2,8200,124,8950
1811,1811,1,23,1,1,0,2100,27,2560
1812,1812,1,48,1,2,1,3857,13,4620
1813,1813,0,380,3,5,4,3800,58,4317
1814,1814,1,58,2,2,1,4000,51,5235
1815,1815,1,200,2,1,1,2450,37,2687
1816,1816,1,70,2,1,1,3300,42,5618
1817,1817,1,126,2,2,1,2500,38,2538
1818,1818,1,218,3,4,2,7800,99,10030
1819,1819,0,190,4,4,2,3200,15,4307
1820,1820,0,64,1,2,1,1540,20,2558
1821,1821,1,420,4,4,4,12000,153,20150
1822,1822,1,42,1,1,0,1800,23,2168
1823,1823,0,284,4,3,4,6000,91,7996
1824,1824,1,108,3,2,2,2200,28,3403
1825,1825,1,95,2,1,1,2900,44,2944
1826,1826,1,217,2,3,3,6000,77,9577
1827,1827,1,190,3,3,2,9000,115,12800
1828,1828,0,150,2,2,1,1060,16,1243
1829,1829,1,75,1,2,0,2100,27,2387
1830,1830,1,40,1,1,0,780,12,809
1831,1831,1,110,2,1,1,3000,39,4376
1832,1832,1,139,4,5,2,10000,127,12210
1833,1833,1,30,1,1,0,3400,44,3794
1834,1834,1,58,2,1,1,1800,23,2220
1835,1835,1,150,3,4,2,2750,42,3076
1836,1836,1,131,4,4,3,6000,77,8975
1837,1837,1,18,1,1,0,1720,22,1742
1838,1838,1,80,2,1,1,1500,20,1920
1839,1839,1,144,3,4,3,7200,92,8737
1840,1840,1,85,2,1,0,1617,21,2215
1841,1841,1,76,2,2,1,3410,44,4626
1842,1842,1,370,5,3,4,8500,128,9120
1843,1843,0,100,2,1,0,900,12,1523
1844,1844,1,260,3,5,0,9000,136,9770
1845,1845,1,220,3,4,2,15000,226,16460
1846,1846,1,273,3,3,1,5000,64,7722
1847,1847,1,107,3,2,1,5800,74,7300
1848,1848,1,34,2,1,0,2200,28,2543
1849,1849,1,80,2,1,0,4892,74,4966
1850,1850,1,550,4,5,0,8800,112,11610
1851,1851,1,60,3,3,2,2700,41,3014
1852,1852,1,45,2,1,1,1850,24,2523
1853,1853,1,170,4,2,3,2550,39,2589
1854,1854,1,200,3,4,3,6200,79,9713
1855,1855,0,70,2,1,1,2250,29,2707
1856,1856,1,77,2,2,1,1950,25,3186
1857,1857,1,270,4,4,4,15000,191,18090
1858,1858,1,339,4,5,4,15000,191,19430
1859,1859,1,50,1,1,0,1100,17,1117
1860,1860,1,104,2,2,0,2200,28,2984
1861,1861,1,68,2,2,1,6700,85,7720
1862,1862,1,240,4,4,3,2000,26,12030
1863,1863,1,45,1,1,1,2300,30,4697
1864,1864,1,189,4,3,3,4500,58,9326
1865,1865,1,43,1,1,0,1472,6,1739
1866,1866,1,35,1,1,1,1010,13,1053
1867,1867,1,200,3,3,2,8000,121,8413
1868,1868,1,250,3,5,8,6000,91,6098
1869,1869,1,400,4,6,3,7225,109,7497
1870,1870,1,45,1,1,1,5520,70,8590
1871,1871,1,22,1,1,1,2200,28,2754
1872,1872,1,180,3,3,2,8000,102,10620
1873,1873,1,486,4,6,5,4861,62,13310
1874,1874,1,72,3,2,2,2312,8,3040
1875,1875,1,830,2,2,2,2001,31,2191
1876,1876,1,52,1,1,1,4667,60,5201
1877,1877,1,90,1,1,0,2066,27,2393
1878,1878,0,165,3,2,1,1800,23,3217
1879,1879,1,71,2,2,1,1250,16,2031
1880,1880,1,65,2,2,2,2000,26,2743
1881,1881,0,260,3,5,5,7600,115,9999
1882,1882,1,140,2,1,0,4500,58,5858
1883,1883,1,200,3,2,3,8000,102,11770
1884,1884,1,204,3,2,2,7000,89,11400
1885,1885,1,96,3,1,2,1847,24,2486
1886,1886,1,136,3,4,3,3500,45,5441
1887,1887,1,156,3,2,1,6400,97,6556
1888,1888,0,98,1,1,1,2800,36,3718
1889,1889,1,150,3,3,3,4600,70,5004
1890,1890,1,200,3,3,5,14000,211,15050
1891,1891,1,31,2,1,0,1040,14,1054
1892,1892,1,136,3,2,2,15000,191,16820
1893,1893,1,440,4,4,4,10200,130,18160
1894,1894,1,110,3,3,1,3000,39,4123
1895,1895,1,347,5,5,4,7000,106,7606
1896,1896,1,98,3,2,1,2400,31,3951
1897,1897,1,600,3,3,3,15000,191,24880
1898,1898,1,53,2,2,1,3000,39,3707
1899,1899,0,58,1,2,2,1450,19,2166
1900,1900,1,162,2,2,3,15000,191,17300
1901,1901,1,50,1,1,1,5300,68,6361
1902,1902,1,230,5,3,2,3491,53,3835
1903,1903,1,93,3,4,2,2800,36,4093
1904,1904,1,93,1,3,1,3500,45,4618
1905,1905,1,20,1,1,0,1800,23,2555
1906,1906,1,150,3,2,0,2500,38,2688
1907,1907,1,182,3,5,3,4900,63,9438
1908,1908,1,48,1,1,1,1797,18,2440
1909,1909,1,98,3,2,2,4500,58,5458
1910,1910,1,197,3,4,1,4500,58,7682
1911,1911,1,114,4,4,2,2790,36,4262
1912,1912,1,70,2,1,0,1300,17,1670
1913,1913,1,240,5,2,3,6500,98,6888
1914,1914,1,55,1,1,0,1100,8,1108
1915,1915,1,90,3,3,1,2600,40,2651
1916,1916,1,106,3,2,1,10000,127,11300
1917,1917,1,250,3,4,2,7000,89,9531
1918,1918,1,168,3,2,4,3500,53,4470
1919,1919,1,150,3,2,1,4800,61,6033
1920,1920,1,350,3,3,3,10000,151,11440
1921,1921,1,23,1,1,1,2800,36,3535
1922,1922,1,290,4,4,2,7800,99,11680
1923,1923,1,160,4,3,0,2300,30,3561
1924,1924,1,12,1,1,0,1050,14,1114
1925,1925,1,280,3,4,2,8000,121,16790
1926,1926,1,107,3,3,2,4500,58,6575
1927,1927,1,25,1,1,0,1750,23,1773
1928,1928,1,37,1,1,0,1400,18,1418
1929,1929,1,157,4,3,2,6608,100,7200
1930,1930,1,71,2,3,2,3700,47,4297
1931,1931,1,130,4,3,2,2500,32,4046
1932,1932,1,300,3,4,7,4340,66,4956
1933,1933,1,525,5,4,4,8330,126,10620
1934,1934,1,94,3,3,2,2433,31,3593
1935,1935,1,240,4,2,6,4675,71,5127
1936,1936,1,400,3,3,4,3790,57,4007
1937,1937,1,228,3,4,3,14000,178,18680
1938,1938,1,395,4,4,3,15000,191,18160
1939,1939,1,227,4,4,3,9000,115,14530
1940,1940,1,685,4,3,5,13000,165,20250
1941,1941,0,297,4,6,2,2800,36,6069
1942,1942,1,145,3,3,1,5800,74,7474
1943,1943,0,180,3,4,4,3230,49,3529
1944,1944,0,269,4,5,0,5100,65,9128
1945,1945,1,270,3,3,3,13000,165,16920
1946,1946,1,390,3,4,4,9000,115,14510
1947,1947,1,200,2,5,2,15000,191,18580
1948,1948,1,330,5,4,2,7650,115,8485
1949,1949,1,66,1,1,1,1600,21,4047
1950,1950,1,290,5,3,3,4100,52,9387
1951,1951,1,45,1,1,0,1500,20,2220
1952,1952,1,98,2,2,0,4500,58,5482
1953,1953,1,160,2,1,0,2400,31,3631
1954,1954,1,80,2,1,1,2900,37,3958
1955,1955,1,160,2,3,2,12000,153,14960
1956,1956,1,118,3,2,2,8950,114,10990
1957,1957,1,230,4,3,2,12200,155,15200
1958,1958,0,650,4,6,4,13000,196,15000
1959,1959,1,147,3,3,3,12000,153,15150
1960,1960,1,138,3,1,0,3500,53,3998
1961,1961,1,102,2,2,2,3500,53,3801
1962,1962,0,57,2,1,1,1850,24,2339
1963,1963,1,36,1,1,1,3328,14,4217
1964,1964,1,248,3,4,4,14000,178,18310
1965,1965,1,190,4,2,3,8000,121,8646
1966,1966,0,60,2,1,1,1299,17,1600
1967,1967,1,309,4,7,8,10000,151,11320
1968,1968,1,884,5,7,6,12750,162,27830
1969,1969,0,40,1,1,0,500,7,944
1970,1970,1,80,2,2,1,1600,25,1650
1971,1971,1,200,4,5,4,10000,127,13880
1972,1972,1,60,1,1,1,1500,23,1623
1973,1973,1,180,2,3,2,3150,48,3499
1974,1974,1,213,4,4,3,6500,83,10340
1975,1975,1,190,3,2,1,6800,87,9983
1976,1976,0,205,3,2,4,2570,39,2666
1977,1977,1,126,3,4,1,4000,51,6340
1978,1978,1,260,4,4,6,5500,70,9217
1979,1979,0,66,1,1,1,5000,64,6026
1980,1980,1,900,4,9,8,15000,226,20930
1981,1981,1,380,4,3,3,5800,74,10970
1982,1982,1,146,3,3,2,2000,26,3518
1983,1983,0,53,1,1,1,650,9,1187
1984,1984,1,326,3,4,5,15000,191,21790
1985,1985,1,230,3,2,0,2500,32,3032
1986,1986,1,123,3,3,2,3400,44,5305
1987,1987,1,30,1,1,0,1350,18,1952
1988,1988,1,60,2,1,0,1100,17,1167
1989,1989,1,200,2,2,1,9500,121,12920
1990,1990,1,315,3,4,5,15000,191,17690
1991,1991,1,55,2,1,0,1350,18,1748
1992,1992,1,70,2,1,0,2448,32,2639
1993,1993,0,49,2,1,1,1010,13,1296
1994,1994,1,18,1,1,0,1130,15,1575
1995,1995,1,100,3,3,4,2500,38,2684
1996,1996,1,61,2,1,0,3050,39,3804
1997,1997,1,79,2,3,2,3200,41,4277
1998,1998,1,73,2,2,1,1250,16,2116
1999,1999,1,30,1,1,0,1550,20,1591
2000,2000,1,61,2,1,0,1841,24,2105
2001,2001,1,34,1,1,1,2890,37,2927
2002,2002,0,50,2,1,1,1000,13,1646
2003,2003,1,100,2,2,1,1750,27,1917
2004,2004,1,55,1,1,1,4950,63,6238
2005,2005,1,100,2,3,1,3973,51,5551
2006,2006,1,110,3,2,2,2400,31,3823
2007,2007,0,40,2,1,1,1200,16,1606
2008,2008,0,223,3,5,2,3300,42,5032
2009,2009,1,384,4,6,4,15000,191,19040
2010,2010,1,418,2,4,3,6875,88,12350
2011,2011,1,380,4,1,0,2890,25,3065
2012,2012,1,225,4,3,2,4400,67,4757
2013,2013,1,40,1,1,0,850,11,861
2014,2014,1,74,2,2,2,3400,44,4707
2015,2015,1,185,3,3,2,12000,153,12150
2016,2016,0,70,2,2,0,1000,16,1078
2017,2017,1,150,3,2,2,2000,26,3591
2018,2018,1,150,3,3,8,8000,121,9205
2019,2019,1,25,1,1,0,750,10,1167
2020,2020,1,320,5,4,4,14650,221,15830
2021,2021,1,328,3,4,4,6000,77,8259
2022,2022,1,179,4,4,3,8500,108,10460
2023,2023,1,62,2,2,2,2290,30,3504
2024,2024,1,210,3,4,4,15000,191,19130
2025,2025,1,75,2,2,0,2125,27,3048
2026,2026,0,76,2,2,2,3100,40,3965
2027,2027,1,146,3,3,2,6500,83,8600
2028,2028,1,55,2,2,1,1850,24,2254
2029,2029,1,165,4,4,4,5700,73,8007
2030,2030,0,96,3,2,2,3600,46,4534
2031,2031,1,300,3,3,8,4000,61,4411
2032,2032,1,287,3,2,5,15000,226,15230
2033,2033,1,35,1,1,0,1200,16,1681
2034,2034,1,23,1,1,0,2500,32,2763
2035,2035,1,25,1,1,0,2000,26,2446
2036,2036,1,140,3,2,0,1799,23,4697
2037,2037,0,147,3,2,3,1620,21,3250
2038,2038,1,90,2,1,0,1500,20,1621
2039,2039,1,224,4,5,3,9500,121,20770
2040,2040,0,170,3,2,2,1800,28,1869
2041,2041,1,126,3,4,3,13000,165,15160
2042,2042,1,72,2,2,1,7500,96,8621
2043,2043,1,45,1,1,1,2532,9,3005
2044,2044,1,45,1,1,1,1800,23,2689
2045,2045,1,100,3,2,2,2000,26,3226
2046,2046,1,152,2,2,1,15000,191,16440
2047,2047,1,40,1,1,1,3470,44,3884
2048,2048,1,200,3,2,1,8000,102,9644
2049,2049,1,310,3,3,2,15000,191,18760
2050,2050,1,20,1,1,0,1700,22,2187
2051,2051,1,200,3,2,2,3000,39,4665
2052,2052,1,76,1,2,1,4200,54,5464
2053,2053,1,20,1,1,0,600,8,948
2054,2054,1,200,4,3,3,3800,58,4692
2055,2055,1,54,2,1,0,2001,26,2562
2056,2056,1,100,1,1,2,4200,54,5528
2057,2057,1,90,3,2,0,2100,27,3111
2058,2058,1,300,3,3,4,9000,136,9786
2059,2059,1,70,2,1,1,1300,17,2218
2060,2060,1,60,2,1,0,1380,21,1422
2061,2061,1,100,2,2,2,3900,59,3993
2062,2062,1,270,3,4,2,15000,191,19450
2063,2063,1,90,3,1,1,2400,31,3031
2064,2064,1,220,3,4,4,5500,70,9821
2065,2065,1,60,1,1,1,2023,26,3086
2066,2066,1,56,1,1,0,8000,102,8382
2067,2067,0,430,4,3,4,9000,115,12730
2068,2068,1,288,3,3,3,12000,181,13060
2069,2069,1,79,2,2,1,2000,26,2701
2070,2070,1,341,3,3,2,4400,56,7881
2071,2071,1,60,2,2,1,3400,44,5682
2072,2072,1,300,4,4,3,12900,194,13680
2073,2073,1,123,3,3,0,4000,61,4103
2074,2074,1,59,2,2,1,2200,28,2606
2075,2075,1,35,1,1,0,1100,14,1117
2076,2076,1,42,1,1,0,1600,25,1675
2077,2077,1,55,1,1,1,2166,28,3323
2078,2078,1,38,1,1,0,1685,22,1937
2079,2079,1,318,5,3,2,3840,58,4498
2080,2080,1,60,1,1,0,1300,20,1464
2081,2081,1,280,3,4,3,8000,121,8621
2082,2082,1,195,4,3,3,10000,127,14060
2083,2083,1,82,2,2,1,2450,32,4174
2084,2084,0,110,2,1,1,980,13,1175
2085,2085,1,376,3,3,7,8000,121,8955
2086,2086,1,139,3,3,3,2700,35,4412
2087,2087,1,300,4,3,4,15000,191,17590
2088,2088,1,289,3,3,2,15000,191,18820
2089,2089,1,100,2,1,2,3200,49,3316
2090,2090,1,65,2,2,1,1039,14,1777
2091,2091,0,55,2,1,1,900,12,1216
2092,2092,1,98,1,2,2,4000,51,5714
2093,2093,1,76,3,2,0,1600,21,2455
2094,2094,1,89,3,2,2,6000,77,7161
2095,2095,1,155,4,3,2,3500,45,5054
2096,2096,1,137,3,4,2,2200,28,3862
2097,2097,1,88,2,2,2,4500,58,5692
2098,2098,0,102,3,3,1,1500,20,2725
2099,2099,1,300,2,4,2,3250,49,3299
2100,2100,1,115,3,2,1,3000,39,4612
2101,2101,1,198,3,4,2,11500,146,14910
2102,2102,1,57,2,2,1,2550,33,3073
2103,2103,0,185,3,3,2,2200,28,3528
2104,2104,1,62,2,1,1,1650,21,2421
2105,2105,1,86,3,3,0,3000,39,4239
2106,2106,1,35,1,1,1,1250,16,2242
2107,2107,1,144,3,2,2,3600,46,5230
2108,2108,1,210,3,3,4,6500,83,11080
2109,2109,1,294,3,6,3,2550,39,3101
2110,2110,1,232,4,3,4,4500,68,4910
2111,2111,1,260,4,2,3,3850,58,4338
2112,2112,1,100,5,5,2,4500,68,4950
2113,2113,0,280,4,3,4,3100,47,5795
2114,2114,1,120,1,2,2,9000,115,10820
2115,2115,1,90,3,2,1,3780,48,5420
2116,2116,1,500,3,3,5,8500,128,9162
2117,2117,1,200,2,2,2,11000,140,14600
2118,2118,0,290,4,3,1,2600,33,4175
2119,2119,1,200,5,6,4,5000,64,9614
2120,2120,1,208,4,2,4,4500,68,4850
2121,2121,1,220,3,3,2,9000,115,14200
2122,2122,1,270,3,4,3,9500,121,15220
2123,2123,1,280,4,4,2,4000,51,9293
2124,2124,1,200,3,4,3,8500,108,13360
2125,2125,1,230,4,5,0,7600,115,8015
2126,2126,0,47,1,1,1,2700,35,3452
2127,2127,1,250,3,3,2,5500,70,9112
2128,2128,1,400,4,5,4,8700,111,14370
2129,2129,1,220,3,4,2,3900,50,6700
2130,2130,1,249,3,3,3,9000,136,9970
2131,2131,0,227,3,3,4,3200,49,3539
2132,2132,1,33,1,1,1,1000,13,2863
2133,2133,1,22,1,1,0,976,15,991
2134,2134,0,97,1,1,0,750,10,1289
2135,2135,1,61,1,1,0,1600,21,2015
2136,2136,1,400,3,6,6,6500,98,6973
2137,2137,1,280,4,3,3,8500,128,11010
2138,2138,0,60,1,1,2,1660,25,1735
2139,2139,1,55,2,1,1,1250,16,1816
2140,2140,0,100,3,2,8,2000,31,2113
2141,2141,1,64,2,2,1,2169,15,3038
2142,2142,1,70,2,2,0,4000,51,4901
2143,2143,1,250,2,2,1,4800,73,5407
2144,2144,1,40,1,1,1,4800,61,7011
2145,2145,1,73,2,2,1,1250,16,2116
2146,2146,1,140,3,2,2,5000,64,6106
2147,2147,1,37,1,1,0,900,14,989
2148,2148,1,26,1,1,0,2350,18,2706
2149,2149,1,84,2,2,2,9600,122,11190
2150,2150,1,32,1,1,1,2800,36,3430
2151,2151,1,200,6,4,2,5600,85,10400
2152,2152,1,187,3,4,3,14000,178,17090
2153,2153,1,45,1,1,1,2500,32,3153
2154,2154,0,100,3,2,3,2200,34,2234
2155,2155,1,130,3,2,3,1850,28,2132
2156,2156,0,75,2,1,2,1400,18,1678
2157,2157,1,123,3,2,2,2450,32,3732
2158,2158,0,100,3,2,2,2200,28,3033
2159,2159,1,500,3,4,7,9300,140,10500
2160,2160,1,118,3,2,1,6000,77,7899
2161,2161,1,600,4,3,4,6400,82,6483
2162,2162,1,80,2,1,1,2200,28,3112
2163,2163,1,167,3,3,2,3700,56,4067
2164,2164,1,600,4,4,4,6800,103,7903
2165,2165,1,74,2,1,0,2500,32,2534
2166,2166,1,380,5,7,4,6000,77,11360
2167,2167,1,100,2,1,0,5000,76,5201
2168,2168,1,150,5,5,4,3700,47,6464
2169,2169,1,65,2,1,1,1700,22,2414
2170,2170,1,35,1,1,0,950,13,993
2171,2171,1,330,4,6,3,15000,191,23120
2172,2172,1,100,2,2,1,2200,34,2435
2173,2173,1,156,3,4,3,4200,54,6159
2174,2174,1,80,3,2,2,7000,106,7273
2175,2175,1,50,2,2,1,1800,23,2213
2176,2176,1,40,1,1,1,1630,21,2301
2177,2177,1,142,3,4,3,5100,65,7256
2178,2178,1,110,3,2,3,2100,27,4300
2179,2179,1,70,2,2,1,1000,13,1431
2180,2180,1,76,2,2,2,4500,58,5458
2181,2181,1,59,2,1,1,1400,18,2105
2182,2182,1,100,3,2,0,2020,26,2928
2183,2183,0,88,3,2,2,1950,25,2979
2184,2184,1,37,1,1,1,2600,33,3489
2185,2185,1,54,2,1,1,2597,33,2910
2186,2186,1,244,3,3,4,9000,115,13100
2187,2187,1,158,3,3,2,10900,139,13810
2188,2188,1,65,2,2,2,4450,18,5268
2189,2189,1,100,3,2,1,1200,16,2475
2190,2190,1,42,1,1,1,3696,47,4528
2191,2191,1,60,2,2,1,5550,71,7363
2192,2192,1,164,4,4,3,6205,79,8318
2193,2193,1,220,3,2,2,6400,82,10280
2194,2194,1,83,1,1,1,6000,77,10330
2195,2195,1,41,1,1,0,1180,15,1445
2196,2196,1,213,3,4,0,4500,58,7193
